Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,102.61,105.368,102.0,105.35,67649387.0,0.0,1.0,100.46355845974,103.16386539115,99.866318710593,103.14624192315,67649387.0
2016-01-05,105.75,105.85,102.41,102.71,55790992.0,0.0,1.0,103.53787454554,103.63578270114,100.26774214855,100.56146661534,55790992.0
2016-01-06,100.56,102.37,99.87,100.7,68457388.0,0.0,1.0,98.456441269973,100.22857888631,97.780874996342,98.593512687811,68457388.0
2016-01-07,98.68,100.13,96.43,96.45,81094428.0,0.0,1.0,96.615767944719,98.035436200899,94.41283444375,94.432416074869,81094428.0
2016-01-08,98.55,99.11,96.76,96.96,70798016.0,0.0,1.0,96.48848734244,97.036773013793,94.735931357225,94.931747668422,70798016.0
2016-01-11,98.97,99.06,97.34,98.53,49739377.0,0.0,1.0,96.899701595955,96.987818935993,95.303798659697,96.468905711321,49739377.0
2016-01-12,100.55,100.69,98.8399,99.96,49154227.0,0.0,1.0,98.446650454413,98.583721872251,96.772323085521,97.868992336381,49154227.0
2016-01-13,100.32,101.19,97.3,97.39,62439631.0,0.0,1.0,98.221461696536,99.073262650244,95.264635397458,95.352752737496,62439631.0
2016-01-14,97.96,100.48,95.74,99.52,63170127.0,0.0,1.0,95.910829224408,98.378114745494,93.737268170119,97.438196451747,63170127.0
2016-01-15,96.2,97.71,95.36,97.13,79833891.0,0.0,1.0,94.187645685873,95.666058835412,93.365217178844,95.09819153294,79833891.0
2016-01-19,98.41,98.65,95.5,96.66,53087747.0,0.0,1.0,96.351415924602,96.586395498039,93.502288596682,94.638023201626,53087747.0
2016-01-20,95.1,98.1897,93.42,96.79,72334416.0,0.0,1.0,93.110655974288,96.135724257818,91.465798960231,94.765303803905,72334416.0
2016-01-21,97.06,97.88,94.94,96.3,52161463.0,0.0,1.0,95.029655824021,95.83250269993,92.95400292533,94.285553841471,52161463.0
2016-01-22,98.63,101.46,98.37,101.42,65800467.0,0.0,1.0,96.566813866919,99.33761467036,96.312252662363,99.298451408121,65800467.0
2016-01-25,101.52,101.53,99.21,99.44,51794525.0,0.0,1.0,99.396359563719,99.406150379279,97.134681169391,97.359869927268,51794525.0
2016-01-26,99.93,100.88,98.07,99.99,75077002.0,0.0,1.0,97.839619889701,98.769747367888,96.018528195567,97.89836478306,75077002.0
2016-01-27,96.04,96.6289,93.34,93.42,133369674.0,0.0,1.0,94.030992636915,94.607573765235,91.387472435752,91.465798960231,133369674.0
2016-01-28,93.79,94.52,92.39,94.09,55678825.0,0.0,1.0,91.828059135946,92.542788671816,90.457344957565,92.121783602742,55678825.0
2016-01-29,94.79,97.34,94.35,97.34,64416504.0,0.0,1.0,92.807140691932,95.303798659697,92.376344807298,95.303798659697,64416504.0
2016-02-01,96.47,96.71,95.4,96.43,40943541.0,0.0,1.0,94.451997705989,94.686977279426,93.404380441084,94.41283444375,40943541.0
2016-02-02,95.42,96.04,94.28,94.48,37357215.0,0.0,1.0,93.423962072203,94.030992636915,92.307809098379,92.503625409576,37357215.0
2016-02-03,95.0,96.84,94.08,96.35,45964294.0,0.0,1.0,93.012747818689,94.814257881704,92.111992787182,94.334507919271,45964294.0
2016-02-04,95.86,97.33,95.19,96.6,46471652.0,0.52,1.0,94.359980256398,95.806977658619,93.700464433617,95.08840071738,46471652.0
2016-02-05,96.52,96.92,93.69,94.02,46418064.0,0.0,1.0,95.009652559436,95.403393349156,92.223936472167,92.548772623686,46418064.0
2016-02-08,93.13,95.7,93.04,95.01,54021375.0,0.0,1.0,91.672699366559,94.20248394051,91.584107688872,93.523281078243,54021375.0
