Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,33.45,33.54,32.84,33.31,14875381.0,0.0,1.0,31.566929416004303,31.651862858379197,30.99126941768554,31.434810727865568,14875381.0
2016-01-05,33.33,33.41,32.18,32.43,19755908.0,0.0,1.0,31.4536848261711,31.52918121939323,30.36842417360294,30.604350402422106,19755908.0
2016-01-06,31.95,31.98,31.01,31.27,27514380.0,0.0,1.0,30.151372043089307,30.17968319054761,29.26428942272925,29.509652700701178,27514380.0
2016-01-07,30.26,30.82,29.825,29.99,21030692.0,0.0,1.0,28.556510736271754,29.084985488826682,28.145999098126403,28.301710409147052,21030692.0
2016-01-08,30.46,30.7,29.42,29.53,16447761.0,0.0,1.0,28.745251719327086,28.97174089899348,27.76379860743936,27.86760614811979,16447761.0
2016-01-11,30.37,30.48,29.68,30.25,16870960.0,0.0,1.0,28.660318276952186,28.764125817632618,28.009161885411288,28.547073687118985,16870960.0
2016-01-12,30.63,30.745,29.8,30.3,13398035.0,0.0,1.0,28.905681554924115,29.014207620180933,28.12240647524449,28.59425893288282,13398035.0
2016-01-13,31.83,31.9,30.09,30.49,31586233.0,0.0,1.0,30.03812745325611,30.104186797325475,28.39608090067472,28.773562866785383,31586233.0
2016-01-14,30.81,30.89,29.45,30.3,27104499.0,0.0,1.0,29.075548439673913,29.151044832896048,27.792109754897655,28.59425893288282,27104499.0
2016-01-15,29.46,29.68,28.8,29.57,26697012.0,0.0,1.0,27.801546804050425,28.009161885411288,27.178701559967827,27.905354344730856,26697012.0
2016-01-19,29.93,30.0,28.91,29.4,17824081.0,0.0,1.0,28.245088114230455,28.31114745829982,27.28250910064826,27.744924509133824,17824081.0
2016-01-20,28.86,29.9,28.32,29.42,21480536.0,0.0,1.0,27.235323854884427,28.21677696677215,26.72572320063503,27.76379860743936,21480536.0
2016-01-21,29.46,30.135,29.07,29.55,15842177.0,0.0,1.0,27.801546804050425,28.43854762186217,27.433501887092525,27.886480246425325,15842177.0
2016-01-22,30.16,30.29,29.03,29.28,18300387.0,0.0,1.0,28.462140244744084,28.58482188373005,27.39575369048146,27.631679919300627,18300387.0
2016-01-25,29.33,29.59,29.015,29.23,33627093.0,0.0,1.0,27.678865165064455,27.924228443036387,27.38159811675231,27.584494673536792,33627093.0
2016-01-26,29.41,29.75,29.04,29.65,11656059.0,0.0,1.0,27.75436155828659,28.075221229480654,27.405190739634225,27.980850737952988,11656059.0
2016-01-27,29.72,29.9,29.0,29.21,12931488.0,0.0,1.0,28.046910082022354,28.21677696677215,27.36744254302316,27.565620575231257,12931488.0
2016-01-28,29.47,29.48,28.4,29.02,16419864.0,0.0,1.0,27.81098385320319,27.820420902355956,26.801219593857162,27.386316641328694,16419864.0
2016-01-29,29.17,29.64,29.02,29.64,13444558.0,0.0,1.0,27.527872378620195,27.971413688800222,27.386316641328694,27.971413688800222,13444558.0
